Score Cluster,Average Learners,Disengaged Learners,Proactive Learners
high,591450.3361800002,750145.8269599986,9281.99132
low,10911522.92630002,7174877.558409978,1832784.4767399947
middle,2661557.581319988,3231058.496830024,150943.15265999996
